Brand,Price,Photo,Model Number,Made In,Warranty,Available Colors,Body Type,Engine Type,Engine Power,Torque,No. of Cylinders,Charger,Maximum Speed,Acceleration Time (0-100 kmph),Transmission Type,Drive Type,Gear Box,Steering Type,Steering Gear Type,Front Suspension,Back Suspension,Length,Width,Height,Wheel Base,Ground Clearance,Kerb Weight,Tyre Size,Wheel Size,Front Brake,Rear Brake,Mileage in City,Mileage on Highway,Fuel Type,Seating Capacity,Fuel Tank Capacity (Litres),No. of Doors,Air Conditioner,Heater,AntiLock Braking System,Central Locking,Power Steering,Power Windows,Leather Seats,Anti-Lock Braking,Brake Assist,Central Locking,Power Door Locks,Child Safety Locks,Night Rear View Mirror,Rear Seat Belts,Door Ajar Warning,Adjustable Seats,Crash Sensor,Engine Check Warning,Rear Camera,Anti-Theft Device,Touch Screen,Audio System Remote Control,Speakers Front & back,Bluetooth Connectivity,USB & Auxiliary Input,Adjustable Steering Column,Height Adjustable Driving Seat,Digital Clock,Smoke Headlamps,Electric Folding Rear View Mirror,Automatic Climate Control,Low Fuel Warning Light,Parking Sensors,Bottle Holder,Voice Control,Minimum Turning Radius,Tyre Type,Seat Belt Warning,Vehicle Stability Control System,Engine Immobilizer,Rear Reading Lamp,Fuel System,Radio,Outside Temperature Display,Valve Configuration,Fog Lights Front & Back,Centrally Mounted Fuel Tank,CD Player,DVD Player,Electric Adjustable Seats,Keyless Entry,Boot Space,Tyre Pressure Monitor,Smart Access Card Entry,Assembled In,Displacement (cc),Xenon Headlamps,Halogen Headlamps,Shock Absorbers Type,Removable/Convertible Top,Introduction Date,Cassette Player
Honda,A,https://www.ccarprice.com/products/Honda_Accord_Hybrid_EX_L_20.jpg,Accord Hybrid EX L 2023,japan,"Basic: 3 Years / 36000 Miles , Corrosion: 5 Years / Unlimited Miles , Drivetrain: 5 Years / 60000 Miles , Hybrid/Electric Components: 8 Years / 100000 Miles , and Roadside Assistance: 3 Years / 36000 Miles","Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Obsidian Blue Pearl, Platinum White Pearl, and Radiant Red Metallic.",Sedan,2.0L Inline-4 Hybrid,143 hp @ 6200 rpm,129 lb-ft @ 3500 rpm,6,,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack-Pinion,Strut,Multi-Link,196.1 in,73.3 in,57.1 in,111.4 in,5.8 in,"3,488 lbs",P225/50VR17,17 in x 7.5 in,Disc,Disc,39 MPG,49 MPG,Hybrid,5 seater,12.8 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,38.6 ft,Tubeless,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Honda,A,https://www.ccarprice.com/products/Honda_Civic_LX_CVT_2023_1.jpg,Civic LX CVT 2023,japan,"3 Years / 36,000 Miles Basic, 5 Years / Unlimited Miles Corrosion, 5 Years / 60,000 Miles Drivetrain, and 3 Years / 36,000 Miles Roadside Assistance warranty","Aegean Blue Metallic, Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Platinum White Pearl, Rallye Red, Cosmic Blue Metallic, Molten Lava Pearl, and Platinum White Pearl.",Sedan,2.0-liter Inline-4 Gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,,,,Continuously Variable Automatic (CVT),Front wheel drive (FWD),,Power,Rack-Pinion,"independent, Macpherson strut","independent, multi-link",182.7 in,70.9 in,55.7 in,106.3 in,,"2,771 lbs",P215/55HR16,16 in x 7 in,Discs,Discs,30 City,38 Hwy,Petrol,5 seater,12.4 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,35.4 ft,Tubeless,Yes,Yes,Yes,Yes,Gasoline Direct Injection,Yes,Yes,,,,,,,,,,,,,,,,,,
Honda,A,https://www.ccarprice.com/products/Honda_Civic_Sport_CVT_2023.jpg,Civic Sport CVT 2023,japan,"3 Years / 36,000 Miles Basic, 5 Years / Unlimited Miles Corrosion, 5 Years / 60,000 Miles Drivetrain, and 3 Years / 36,000 Miles Roadside Assistance warranty","Aegean Blue Metallic, Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Platinum White Pearl, Rallye Red, Cosmic Blue Metallic, Molten Lava Pearl, and Platinum White Pearl.",Sedan,2.0-liter Inline-4 Gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,,,,Continuously Variable Automatic (CVT),Front wheel drive (FWD),,Power,Rack-Pinion,"independent, Macpherson strut","independent, multi-link",182.7 in,70.9 in,55.7 in,106.3 in,,"2,847 lbs",P235/40WR18,18 in x 8 in,Discs,Discs,29 City,37 Hwy,Petrol,,12.4 gallons,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,37.4 ft,Tubeless,Yes,Yes,Yes,Yes,Multi-Point,Yes,Yes,,,,,,,,,,,,,,,,,,
Honda,A,https://www.ccarprice.com/products/Honda_Civic_LX_Hatchback_20.jpg,Civic LX Hatchback 2023,japan,"3 Years / 36,000 Miles Basic, 5 Years / Unlimited Miles Corrosion, 5 Years / 60,000 Miles Drivetrain, and 3 Years / 36,000 Miles Roadside Assistance warranty","Crystal Black Pearl, Lunar Silver Metallic, Polished Metal Metallic, Rallye Red, Platinum White Pearl, and Sonic Gray Pearl.",Hatchback,1.5-liter Turbo Inline-4 Gas,174 hp @ 6000 rpm,162 lb-ft @ 1700 rpm,4,,,,Continuously Variable Automatic (CVT),Front wheel drive (FWD),6-Speed,Power,Rack-Pinion,Strut,Multi-Link,177.9 in,70.8 in,56.5 in,106.3 in,,"2,906 lbs",P215/55HR16,16 in x 7 in,Discs,Discs,31 City,40 Hwy,Petrol,,12.4 gallons,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,35.7 ft,Tubeless,Yes,Yes,Yes,Yes,Multi-Point,Yes,Yes,,,,,,,,,,,,,,,,,,
Honda,A,https://www.ccarprice.com/products/Honda_CR-V_LX_2023.jpg,CR-V LX 2023,japan,"3 Years / 36000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60000 Miles Drivetrain , and 3 Years / 36000 Miles Roadside Assistance.","Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Obsidian Blue Pearl, Platinum White Pearl, and Radiant Red Metallic.",SUV,1.5-liter Inline-4 Hybrid,190 hp @ 5600 rpm,179 lb-ft @ 2000 rpm,4,Turbo,,,Continuously Variable Automatic (CVT),Front wheel drive,10-Speed,Power,Rack-Pinion,"independent, Macpherson strut","independent, multi-link",183.6 in,73 in,66.1 in,104.8 in,TBC,"3,337 lbs",P235/65HR17,17 in x 7.5 in,Discs,Discs,28 MPG,34 MPG,34 MPG,5 seater,14 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,37.4 ft,Tubeless,Yes,Yes,Yes,Yes,,Yes,Yes,DOHC 16-valve,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,
Honda,"31,670",https://www.ccarprice.com/products/Honda_Accord_Hybrid_Sport-L_2023.jpg,Accord Hybrid Sport-L 2023,japan,"Basic: 3 Years / 36000 Miles , Corrosion: 5 Years / Unlimited Miles , Drivetrain: 5 Years / 60000 Miles , and Roadside Assistance: 3 Years / 36000 Miles","Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Platinum White Pearl, and Radiant Red Metallic.",Sedan,2.0L Inline-4 Hybrid,204 hp,247 lb-ft,4,,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack-Pinion,Strut,Multi-Link,196.1 in,73.3 in,57.1 in,111.4 in,5.8 in,"3,375 lbs",P235/40VR19,19 in x 8.5 in Aluminum Wheels,Disc,Disc,44 City,41 Hwy,Hybrid,5 seater,12.8 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,38.2 ft,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Honda,"28,000",https://www.ccarprice.com/products/Honda_Accord_Sedan_2023.jpg,Accord Sedan 2023,japan,"Basic: 3 Years / 36000 Miles , Corrosion: 5 Years / Unlimited Miles , Drivetrain: 5 Years / 60000 Miles , and Roadside Assistance: 3 Years / 36000 Miles","Crystal Black Pearl, Lunar Silver Metallic, San Marino Red, Platinum White Pearl, Sonic Gray Pearl, and Still Night Pearl.",Sedan,1.5L Turbo Inline-4 Gas,"192 hp @ 6,000 rpm","260 lb-ft @ 1,750 rpm",4,,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack-Pinion,Strut,Multi-Link,196.1 in,73.3 in,57.1 in,111.4 in,,"3,150 lbs",P225/50HR17,17 in x 7.5 in Aluminum Wheels,Disc,Disc,30 City,38 Hwy,Gasoline,5 seater,14.8 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,38.2 ft,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Honda,"25,000",https://www.ccarprice.com/products/Honda_ZRV_2023.jpg,ZR-V 2023,japan,"3 Years / 36,000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60,000 Miles Drivetrain , 3 Years / 36,000 Miles Roadside Assistance warranty","Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, and Platinum White Pearl.",SUV,2.0L Inline-4,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack & Pinion,Strut,Torsion Beam,179.8 in,72.4 in,63.4 in,104.5 in,,,P215/60HR17,17 in x 7.5 in Aluminum Wheels,Discs,Discs,26 City,32 Hwy,Gasoline,5 seater,,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,35.1 ft,,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,,,
Honda,"27,800",https://www.ccarprice.com/products/Honda_HR-V_VTi-S_2022.jpg,HR-V VTi-S 2022,japan,"3 Years / 36,000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60,000 Miles Drivetrain , 3 Years / 36,000 Miles Roadside Assistance warranty","Crystal Black Pearl, Lunar Silver Metallic, Milano Red, Modern Steel Metallic, Nordic Forest Pearl, and Platinum White Pearl.",SUV,2.0L Inline-4 Gas,119 HP @ 6600 RPM,145 Nm @ 4300 RPM,4,,200 KM/H,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack & Pinion,Strut,Multi-Link,4346 mm,1790 mm,1590 mm,2610 mm,196 mm,1267 KG,P215/60HR17,17 in x 7.5 in Aluminum Wheels,Discs,Discs,13 City,15 Hwy,Gasoline,5 seater,40 L,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,35.1 ft,,Yes,Yes,,Yes,,,,,Yes,Yes,,,Yes,Yes,335 L,,,,,,,,,,
Honda,"26,900",https://www.ccarprice.com/products/Honda_HR-V_VTi_2022.jpg,HR-V VTi 2022,japan,"3 Years / 36,000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60,000 Miles Drivetrain , 3 Years / 36,000 Miles Roadside Assistance warranty","Crystal Black Pearl, Lunar Silver Metallic, Milano Red, Modern Steel Metallic, Nordic Forest Pearl, and Platinum White Pearl.",SUV,2.0L Inline-4 Gas,119 HP @ 6600 RPM,145 Nm @ 4300 RPM,4,,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack & Pinion,Strut,Multi-Link,4346 mm,1790 mm,1590 mm,2610 mm,196 mm,1267 KG,P215/60HR17,17 in x 7.5 in Aluminum Wheels,Discs,Discs,13 City,15 Hwy,Gasoline,5 seater,40 L,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,35.1 ft,,Yes,Yes,,Yes,,,,,Yes,Yes,,,,Yes,335 L,,,,,,,,,,
